full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
googlesamples/android-vulkan-tutorials,android-vulkan-tutorials,googlesamples,https://github.com/googlesamples/android-vulkan-tutorials,A set of samples to illustrate Vulkan API on Android,C++,2016-03-03 08:05:32+00:00,2024-08-09 13:35:38+00:00,2023-11-16 14:37:23+00:00,1141,849,849,161,6,46,161,False,291515,"{'C++': '88.15%', 'C': '4.59%', 'CMake': '3.33%', 'Java': '1.99%', 'GLSL': '1.20%', 'Makefile': '0.74%'}",92,86,52,1,53,41,105,2016-04-22 16:25:15+00:00,2023-02-22 00:36:09+00:00,2,[],7,20240809_144514
googlesamples/testloopmanager,testloopmanager,googlesamples,https://github.com/googlesamples/testloopmanager,,Java,2017-05-11 11:18:43+00:00,2021-05-04 07:35:59+00:00,2019-10-08 22:57:15+00:00,177,8,8,15,1,13,15,False,27162,{'Java': '100.00%'},4,3,3,1,4,1,7,2017-03-13 18:25:56+00:00,2019-10-02 19:30:01+00:00,1,[],2,20240809_144514
googlesamples/android-play-safetynet,android-play-safetynet,googlesamples,https://github.com/googlesamples/android-play-safetynet,Samples for the Google SafetyNet Attestation API,Java,2016-10-28 02:01:41+00:00,2024-08-06 23:25:12+00:00,2022-07-27 07:20:18+00:00,409,287,287,133,24,28,133,True,75707,"{'Java': '71.98%', 'C#': '28.02%'}",35,11,4,5,9,2,26,2016-08-17 04:48:11+00:00,2022-07-27 06:13:59+00:00,2,"['android', 'safetynet-api', 'java', 'security', 'verification', 'play-services', 'verify']",5,20240809_144513
googlesamples/appauth-js-electron-sample,appauth-js-electron-sample,googlesamples,https://github.com/googlesamples/appauth-js-electron-sample,"This is an Electron Application, which uses the AppAuth-JS library.",TypeScript,2017-08-04 18:32:11+00:00,2024-05-30 09:55:49+00:00,2024-03-17 08:21:13+00:00,163,115,115,56,11,12,56,False,18060,"{'TypeScript': '86.59%', 'HTML': '10.70%', 'CSS': '2.71%'}",26,15,15,11,26,4,35,2017-06-07 00:06:48+00:00,2019-01-29 23:33:13+00:00,9,[],4,20240809_144516
googlesamples/android-media-controller,android-media-controller,googlesamples,https://github.com/googlesamples/android-media-controller,,Kotlin,2017-06-22 19:17:37+00:00,2024-08-09 14:11:41+00:00,2023-11-09 11:19:02+00:00,12122,438,438,131,8,28,131,False,316296,"{'Kotlin': '63.81%', 'Java': '36.19%'}",50,42,37,4,41,34,181,2019-09-24 22:52:35+00:00,2023-11-09 11:19:02+00:00,2,[],17,20240809_144516
googlesamples/android-vision,android-vision,googlesamples,https://github.com/googlesamples/android-vision,Deprecated: The Mobile Vision API is now a part of ML Kit: Check out this repo:,Java,2015-07-01 21:40:31+00:00,2024-08-07 21:44:26+00:00,2023-07-01 07:16:56+00:00,735,2928,2928,1730,322,237,1730,False,487821,{'Java': '100.00%'},471,149,26,15,41,14,77,2015-06-08 23:39:00+00:00,2019-10-07 23:23:46+00:00,1,[],14,20240809_144517
googlesamples/easypermissions,easypermissions,googlesamples,https://github.com/googlesamples/easypermissions,Simplify Android M system permissions,Java,2015-12-22 18:05:53+00:00,2024-08-06 23:25:14+00:00,2023-08-01 18:11:12+00:00,635,9846,9846,1458,39,279,1458,False,125849,{'Java': '100.00%'},357,318,114,4,118,90,184,2017-04-21 17:05:11+00:00,2021-04-26 11:16:54+00:00,17,"['android', 'android-library', 'permissions']",22,20240809_144518
googlesamples/assistant-sdk-cpp,assistant-sdk-cpp,googlesamples,https://github.com/googlesamples/assistant-sdk-cpp,Example of Google Assistant gRPC in C++,C++,2017-08-21 19:44:53+00:00,2024-06-21 15:32:20+00:00,2020-11-24 11:21:14+00:00,276,96,96,44,26,19,44,False,63956,"{'C++': '80.63%', 'Shell': '10.05%', 'Makefile': '8.07%', 'C': '1.24%'}",83,57,10,3,13,7,33,2017-08-23 21:50:00+00:00,2019-02-21 21:01:11+00:00,3,"['google-assistant-api', 'cpp']",4,20240809_144520
googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,android-TensorFlowCloudMachineLearningEngineStylizer,googlesamples,https://github.com/googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,,Java,2018-02-21 16:36:37+00:00,2023-12-09 00:28:26+00:00,2018-02-26 21:44:13+00:00,4115,14,14,9,0,10,9,True,56655,{'Java': '100.00%'},0,0,0,0,0,0,2,2017-08-22 23:14:52+00:00,2017-08-29 03:27:09+00:00,1,[],1,20240809_144521
googlesamples/assistant-sdk-nodejs,assistant-sdk-nodejs,googlesamples,https://github.com/googlesamples/assistant-sdk-nodejs,,JavaScript,2018-05-07 21:27:51+00:00,2024-05-04 11:23:15+00:00,2018-11-27 19:33:01+00:00,14,93,93,27,6,13,27,False,4574,{'JavaScript': '100.00%'},14,8,1,0,1,1,7,2017-12-14 22:07:46+00:00,2018-11-27 19:33:00+00:00,1,[],2,20240809_144521
googlesamples/sceneform-poly-browser,sceneform-poly-browser,googlesamples,https://github.com/googlesamples/sceneform-poly-browser,,Java,2018-12-19 21:45:19+00:00,2020-10-01 06:03:25+00:00,2018-12-20 18:49:35+00:00,130,6,6,5,0,6,5,False,49204,{'Java': '100.00%'},0,0,0,0,0,0,3,2018-12-07 18:12:47+00:00,2018-12-10 21:01:39+00:00,1,[],1,20240809_144521
googlesamples/pluscode-swift-demo,pluscode-swift-demo,googlesamples,https://github.com/googlesamples/pluscode-swift-demo,An example Plus Code service written in Swift,Swift,2019-04-16 23:21:03+00:00,2020-09-19 08:44:40+00:00,2019-07-31 07:40:48+00:00,9,2,2,5,0,8,5,False,4701,"{'Swift': '81.64%', 'Dockerfile': '18.36%'}",0,0,0,0,0,0,5,2019-04-06 23:54:11+00:00,2019-07-31 07:40:31+00:00,1,[],1,20240809_144521
googlesamples/sceneform-samples,sceneform-samples,googlesamples,https://github.com/googlesamples/sceneform-samples,Sceneform samples for 3D rendering for ARCore in Java.,Java,2018-08-08 00:18:33+00:00,2023-12-07 08:49:32+00:00,2018-12-06 22:12:32+00:00,19502,87,87,22,4,15,22,True,54246,{'Java': '100.00%'},5,1,0,0,0,0,19,2018-07-26 22:39:09+00:00,2018-08-17 17:21:09+00:00,2,"['arcore', 'java', 'sceneform', '3d-graphics']",1,20240809_144521
