full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage
googlesamples/android-play-games-in-motion,android-play-games-in-motion,googlesamples,https://github.com/googlesamples/android-play-games-in-motion,,Java,2015-04-16 23:42:47+00:00,2024-08-01 23:09:40+00:00,2015-08-30 03:45:33+00:00,2223,152,152,49,1,26,49,True,233049,{'Java': '100.00%'}
googlesamples/identity-toolkit-java,identity-toolkit-java,googlesamples,https://github.com/googlesamples/identity-toolkit-java,,Java,2014-07-18 18:19:18+00:00,2024-04-16 22:52:50+00:00,2015-12-21 22:44:47+00:00,6543,23,23,24,2,23,24,True,6144,"{'Java': '78.16%', 'HTML': '21.84%'}"
googlesamples/android-vision,android-vision,googlesamples,https://github.com/googlesamples/android-vision,Deprecated: The Mobile Vision API is now a part of ML Kit: Check out this repo:,Java,2015-07-01 21:40:31+00:00,2024-07-31 17:01:17+00:00,2023-07-01 07:16:56+00:00,735,2928,2928,1730,322,237,1730,False,487821,{'Java': '100.00%'}
googlesamples/ios-nearby,ios-nearby,googlesamples,https://github.com/googlesamples/ios-nearby,,Objective-C,2015-08-18 22:44:41+00:00,2024-07-23 07:32:35+00:00,2018-09-19 21:44:06+00:00,43,68,68,30,33,19,30,True,39447,"{'Objective-C': '78.90%', 'Swift': '20.33%', 'Ruby': '0.77%'}"
googlesamples/android-custom-lint-rules,android-custom-lint-rules,googlesamples,https://github.com/googlesamples/android-custom-lint-rules,This sample demonstrates how to create a custom lint checks and corresponding lint tests,Kotlin,2015-08-27 20:01:41+00:00,2024-07-31 08:36:44+00:00,2024-07-18 21:01:31+00:00,5925,948,948,170,22,38,170,False,17848,{'Kotlin': '100.00%'}
googlesamples/brillo-dragonboard-jacksmart,brillo-dragonboard-jacksmart,googlesamples,https://github.com/googlesamples/brillo-dragonboard-jacksmart,,,2016-02-09 10:33:17+00:00,2021-05-23 22:51:49+00:00,2021-01-22 21:12:33+00:00,2665,12,12,14,0,7,14,False,0,{}
googlesamples/snippets,snippets,googlesamples,https://github.com/googlesamples/snippets,Hosting for miscellaneous code snippets,,2016-03-23 07:37:29+00:00,2023-07-12 02:03:19+00:00,2016-03-23 07:45:57+00:00,11,2,2,9,0,6,9,True,0,{}
googlesamples/vulkan-basic-samples,vulkan-basic-samples,googlesamples,https://github.com/googlesamples/vulkan-basic-samples,,C++,2016-06-08 18:27:54+00:00,2024-08-02 05:04:02+00:00,2021-04-28 23:42:36+00:00,59920,494,494,116,2,51,116,False,3355495,"{'C++': '77.78%', 'C': '14.90%', 'Python': '1.88%', 'CMake': '1.72%', 'Perl': '1.06%', 'HTML': '1.05%', 'GLSL': '0.67%', 'JavaScript': '0.63%', 'Shell': '0.24%', 'Batchfile': '0.06%', 'CSS': '0.03%'}"
googlesamples/easypermissions,easypermissions,googlesamples,https://github.com/googlesamples/easypermissions,Simplify Android M system permissions,Java,2015-12-22 18:05:53+00:00,2024-08-03 10:08:27+00:00,2023-08-01 18:11:12+00:00,635,9842,9842,1458,39,279,1458,False,125849,{'Java': '100.00%'}
googlesamples/android-vulkan-tutorials,android-vulkan-tutorials,googlesamples,https://github.com/googlesamples/android-vulkan-tutorials,A set of samples to illustrate Vulkan API on Android,C++,2016-03-03 08:05:32+00:00,2024-08-02 05:03:55+00:00,2023-11-16 14:37:23+00:00,1141,847,847,161,6,46,161,False,291515,"{'C++': '88.15%', 'C': '4.59%', 'CMake': '3.33%', 'Java': '1.99%', 'GLSL': '1.20%', 'Makefile': '0.74%'}"
googlesamples/mugo,mugo,googlesamples,https://github.com/googlesamples/mugo,Sample on how to transpile a small subset of go to Arduino sketches,Go,2016-05-03 19:52:41+00:00,2023-12-10 16:40:02+00:00,2016-07-10 22:34:44+00:00,26,47,47,16,8,9,16,True,13709,"{'Go': '94.76%', 'Arduino': '5.24%'}"
googlesamples/onetwoseven,onetwoseven,googlesamples,https://github.com/googlesamples/onetwoseven,Programmers debugging web server.,Go,2016-04-08 03:46:43+00:00,2023-01-27 22:42:32+00:00,2017-01-04 15:14:56+00:00,4,16,16,8,0,5,8,True,3528,{'Go': '100.00%'}
googlesamples/unity-jar-resolver,unity-jar-resolver,googlesamples,https://github.com/googlesamples/unity-jar-resolver,Unity plugin which resolves Android & iOS dependencies and performs version management,C#,2016-01-14 11:09:11+00:00,2024-08-02 22:55:42+00:00,2024-08-02 22:57:20+00:00,253911,1224,1224,339,87,68,339,False,1874859,"{'C#': '80.96%', 'Python': '18.64%', 'Shell': '0.40%'}"
googlesamples/oauth-apps-for-windows,oauth-apps-for-windows,googlesamples,https://github.com/googlesamples/oauth-apps-for-windows,OAuth for Apps: Samples for Windows,C#,2016-06-29 18:24:11+00:00,2024-08-01 21:13:13+00:00,2024-01-06 16:42:14+00:00,71,460,460,184,10,39,184,False,47189,{'C#': '100.00%'}
googlesamples/ios-vision,ios-vision,googlesamples,https://github.com/googlesamples/ios-vision,,Objective-C,2016-12-03 01:33:41+00:00,2024-07-23 07:32:29+00:00,2017-11-03 11:43:22+00:00,435,93,93,40,31,21,40,True,96008,"{'Objective-C': '99.58%', 'Ruby': '0.42%'}"
googlesamples/android-play-safetynet,android-play-safetynet,googlesamples,https://github.com/googlesamples/android-play-safetynet,Samples for the Google SafetyNet Attestation API,Java,2016-10-28 02:01:41+00:00,2024-08-02 05:36:59+00:00,2022-07-27 07:20:18+00:00,409,286,286,133,24,28,133,True,75707,"{'Java': '71.98%', 'C#': '28.02%'}"
googlesamples/Firebase-Plays-GCP-2016,Firebase-Plays-GCP-2016,googlesamples,https://github.com/googlesamples/Firebase-Plays-GCP-2016,,JavaScript,2016-09-19 19:14:45+00:00,2023-01-27 22:33:41+00:00,2017-12-14 18:31:03+00:00,1005,14,14,19,0,9,19,True,30099,"{'JavaScript': '65.43%', 'HTML': '34.57%'}"
googlesamples/android-media-controller,android-media-controller,googlesamples,https://github.com/googlesamples/android-media-controller,,Kotlin,2017-06-22 19:17:37+00:00,2024-07-26 00:59:00+00:00,2023-11-09 11:19:02+00:00,12122,435,435,131,8,28,131,False,316296,"{'Kotlin': '63.81%', 'Java': '36.19%'}"
googlesamples/appauth-js-electron-sample,appauth-js-electron-sample,googlesamples,https://github.com/googlesamples/appauth-js-electron-sample,"This is an Electron Application, which uses the AppAuth-JS library.",TypeScript,2017-08-04 18:32:11+00:00,2024-05-30 09:55:49+00:00,2024-03-17 08:21:13+00:00,163,115,115,56,11,12,56,False,18060,"{'TypeScript': '86.59%', 'HTML': '10.70%', 'CSS': '2.71%'}"
googlesamples/testloopmanager,testloopmanager,googlesamples,https://github.com/googlesamples/testloopmanager,,Java,2017-05-11 11:18:43+00:00,2021-05-04 07:35:59+00:00,2019-10-08 22:57:15+00:00,177,8,8,15,1,13,15,False,27162,{'Java': '100.00%'}
googlesamples/assistant-sdk-cpp,assistant-sdk-cpp,googlesamples,https://github.com/googlesamples/assistant-sdk-cpp,Example of Google Assistant gRPC in C++,C++,2017-08-21 19:44:53+00:00,2024-06-21 15:32:20+00:00,2020-11-24 11:21:14+00:00,276,96,96,44,26,19,44,False,63956,"{'C++': '80.63%', 'Shell': '10.05%', 'Makefile': '8.07%', 'C': '1.24%'}"
googlesamples/assistant-sdk-python,assistant-sdk-python,googlesamples,https://github.com/googlesamples/assistant-sdk-python,Samples and bindings for the Google Assistant API,Python,2017-04-25 22:06:02+00:00,2024-07-30 05:55:25+00:00,2022-08-10 14:54:44+00:00,676,914,914,322,146,91,322,True,113581,{'Python': '100.00%'}
googlesamples/google-signin-unity,google-signin-unity,googlesamples,https://github.com/googlesamples/google-signin-unity,Google Sign-In API plugin for Unity game engine.  Works with Android and iOS.,C++,2017-10-12 16:40:40+00:00,2024-08-03 22:23:45+00:00,2024-07-13 16:16:15+00:00,235,407,407,222,181,24,222,False,258556,"{'C++': '38.50%', 'Java': '31.26%', 'C#': '13.57%', 'Objective-C++': '11.70%', 'CMake': '2.49%', 'Objective-C': '1.12%', 'C': '0.70%', 'Ruby': '0.62%', 'Shell': '0.05%'}"
googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,android-TensorFlowCloudMachineLearningEngineStylizer,googlesamples,https://github.com/googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,,Java,2018-02-21 16:36:37+00:00,2023-12-09 00:28:26+00:00,2018-02-26 21:44:13+00:00,4115,14,14,9,0,10,9,True,56655,{'Java': '100.00%'}
