full_name,owner,html_url,stargazers_count,forks_count,watchers_count,contributors_count,language,size,LOC,first_commit_date,last_commit_date,commits_count,year,month,days,year,month,days,year,month,days,open_issues_count,closed_issues_count,issues_count,open_pulls_count,closed_pulls_count,Total PR,merged_pulls_count,% of open_pulls_count,% of Merged,archived
amazon-cloudwatch-auto-alarms,Amazon AWS,https://github.com/aws-samples/amazon-cloudwatch-auto-alarms,90,84,6,7,Python,403,49.680,13/10/2020,12/04/2024,81,3,5,30,3,10,6,0,4,7,29,28,57,3,18,21,17,"14,29%","94,44%",FALSE
amazon-codeguru-javascript-detectors,Amazon AWS,https://github.com/aws-samples/amazon-codeguru-javascript-detectors,3,17,5,11,JavaScript,164,44.623,17/02/2023,04/10/2023,69,0,7,17,1,6,2,0,10,15,5,69,74,5,69,74,63,"6,76%","91,30%",FALSE
amazon-codeguru-python-detectors,Amazon AWS,https://github.com/aws-samples/amazon-codeguru-python-detectors,22,24,6,16,Python,12.520,99.336,09/12/2021,01/05/2024,75,2,4,22,2,8,10,0,3,18,16,85,101,16,84,100,73,"16,00%","86,90%",FALSE
amazon-connect-chat-translate,Amazon AWS,https://github.com/aws-samples/amazon-connect-chat-translate,11,75,5,5,JavaScript,5.291,33.333,25/03/2024,08/08/2024,158,0,4,14,0,4,25,0,0,11,10,43,53,8,38,46,22,"17,39%","57,89%",FALSE
amazon-devops-guru-connector-servicenow,Amazon AWS,https://github.com/aws-samples/amazon-devops-guru-connector-servicenow,4,2,4,6,Java,93,31.436,25/07/2022,16/10/2023,35,1,2,21,2,0,25,0,10,3,1,7,8,0,7,7,7,"0,00%","100,00%",FALSE
amazon-eks-inter-az-traffic-visibility,Amazon AWS,https://github.com/aws-samples/amazon-eks-inter-az-traffic-visibility,17,7,5,5,Python,1.855,46.116,25/09/2022,24/06/2024,32,1,8,30,1,10,25,0,1,26,1,27,28,0,24,24,19,"0,00%","79,17%",FALSE
amazon-elasticache-samples,Amazon AWS,https://github.com/aws-samples/amazon-elasticache-samples,66,50,8,8,Python,28.099,60.113,26/07/2019,31/07/2024,107,5,0,5,5,0,24,0,0,19,13,52,65,13,52,65,37,"20,00%","71,15%",FALSE
amazon-eventbridge-resource-policy-samples,Amazon AWS,https://github.com/aws-samples/amazon-eventbridge-resource-policy-samples,100,10,16,5,Python,2.692,52.082,18/11/2020,30/06/2024,86,3,7,12,3,9,1,0,1,20,0,27,27,0,25,25,17,"0,00%","68,00%",FALSE
amazon-forecast-mlops-pipeline-cdk,Amazon AWS,https://github.com/aws-samples/amazon-forecast-mlops-pipeline-cdk,10,2,8,7,Python,1.136,31.125,11/07/2022,09/07/2024,19,1,11,28,2,1,8,0,1,10,0,7,7,0,7,7,7,"0,00%","100,00%",FALSE
amazon-ivs-chat-web-demo,Amazon AWS,https://github.com/aws-samples/amazon-ivs-chat-web-demo,26,22,13,5,JavaScript,613,77.381,20/04/2022,21/09/2023,15,1,5,1,2,3,30,0,10,29,0,12,12,0,8,8,7,"0,00%","87,50%",FALSE
