full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
googlearchive/appengine-crowdguru-python,appengine-crowdguru-python,googlearchive,https://github.com/googlearchive/appengine-crowdguru-python,Sample App using the XMPP service on App Engine,Python,2013-01-10 19:49:31+00:00,2023-08-23 14:29:51+00:00,2015-09-23 21:34:50+00:00,188,34,34,9,1,64,9,True,15302,"{'Python': '85.07%', 'HTML': '7.95%', 'CSS': '6.97%'}",9,8,5,1,6,5,25,2013-01-10 19:49:32+00:00,2015-09-23 21:34:49+00:00,1,[],5,20240809_225234
googlearchive/bigquery-samples-java,bigquery-samples-java,googlearchive,https://github.com/googlearchive/bigquery-samples-java,A sample Java application that accesses the BigQuery API using the Google Java API Client Libraries. Used in the Google BigQuery Java Codelab,Java,2012-11-30 22:33:41+00:00,2023-01-28 09:23:19+00:00,2017-03-23 16:11:06+00:00,23,48,48,37,1,66,37,True,11021,{'Java': '100.00%'},7,6,6,0,6,4,19,2012-11-30 22:33:41+00:00,2017-03-23 16:11:05+00:00,4,[],6,20240809_225235
googlearchive/appengine-i18n-sample-python,appengine-i18n-sample-python,googlearchive,https://github.com/googlearchive/appengine-i18n-sample-python,A small sample showing how to build an internationalized app with App Engine,Python,2013-01-10 00:28:42+00:00,2023-01-28 09:19:42+00:00,2015-09-28 23:46:52+00:00,160,30,30,6,0,58,6,True,9387,"{'Python': '98.42%', 'JavaScript': '1.58%'}",3,3,3,0,3,3,47,2013-01-10 00:18:11+00:00,2015-09-28 23:46:52+00:00,1,[],5,20240809_225235
googlearchive/firebase-work-queue,firebase-work-queue,googlearchive,https://github.com/googlearchive/firebase-work-queue,An example of processing data using Firebase as a queuing system,,2013-01-06 06:53:01+00:00,2023-01-28 20:09:06+00:00,2018-08-24 22:15:11+00:00,6,72,72,19,0,50,19,True,0,{},7,7,5,0,5,2,14,2013-01-06 06:53:01+00:00,2018-08-24 22:15:10+00:00,1,[],5,20240809_225235
googlearchive/appengine-sockets-python-java-go,appengine-sockets-python-java-go,googlearchive,https://github.com/googlearchive/appengine-sockets-python-java-go,"Python, Go, and Java examples of using the App Engine Socket API.",Python,2012-11-26 05:01:57+00:00,2023-01-28 21:33:54+00:00,2017-06-19 19:11:56+00:00,25,72,72,34,5,67,34,True,13687,"{'Python': '44.97%', 'HTML': '31.96%', 'Java': '23.07%'}",10,5,2,1,3,1,11,2012-11-26 05:01:57+00:00,2017-06-19 19:11:55+00:00,2,[],3,20240809_225234
googlearchive/firebase-chrome-extension,firebase-chrome-extension,googlearchive,https://github.com/googlearchive/firebase-chrome-extension,A Sample Chrome Extension using Firebase,JavaScript,2013-01-03 22:38:20+00:00,2024-07-19 03:35:53+00:00,2018-08-24 22:16:17+00:00,58,89,89,54,1,51,54,True,1433,"{'JavaScript': '60.85%', 'HTML': '39.15%'}",8,7,3,0,3,2,9,2013-01-03 22:36:29+00:00,2018-08-24 22:16:16+00:00,1,[],5,20240809_225235
googlearchive/appengine-mandelbrot-python,appengine-mandelbrot-python,googlearchive,https://github.com/googlearchive/appengine-mandelbrot-python,A simple example app showing how to dynamically generate animated fractal GIF images using numpy and PIL python libraries.,Python,2012-11-21 22:47:41+00:00,2023-01-28 09:23:19+00:00,2015-09-25 01:53:14+00:00,139,15,15,3,0,62,3,True,8718,"{'Python': '68.04%', 'HTML': '31.96%'}",2,2,2,0,2,2,14,2011-08-09 05:54:56+00:00,2015-09-25 01:53:13+00:00,1,[],3,20240809_225234
googlearchive/examples,examples,googlearchive,https://github.com/googlearchive/examples,Simple Firebase Examples!,JavaScript,2013-02-12 01:10:24+00:00,2024-02-07 15:59:33+00:00,2018-08-24 22:16:23+00:00,38,146,146,82,0,61,82,True,42653,"{'JavaScript': '80.79%', 'CSS': '10.77%', 'HTML': '8.44%'}",2,2,2,0,2,1,17,2013-02-12 01:16:44+00:00,2018-08-24 22:16:23+00:00,1,[],4,20240809_225234
googlearchive/webplatform-samples,webplatform-samples,googlearchive,https://github.com/googlearchive/webplatform-samples,HTML5 Samples/Demos,,2012-06-15 20:46:59+00:00,2024-08-01 12:05:10+00:00,2017-05-21 14:11:11+00:00,173,438,438,657,15,48,657,True,0,{},18,3,2,7,9,1,5,2012-06-15 20:50:17+00:00,2013-03-29 18:19:09+00:00,1,[],2,20240809_225235
googlearchive/bigquery-appengine-datastore-import-sample,bigquery-appengine-datastore-import-sample,googlearchive,https://github.com/googlearchive/bigquery-appengine-datastore-import-sample,"Demonstrates how to extract and transform data from the Datastore into a format suitable for ingestion by Google BigQuery, via the App Engine MapReduce library.",Python,2012-12-13 21:49:53+00:00,2023-01-28 09:23:19+00:00,2015-09-23 22:06:15+00:00,161,16,16,5,0,57,5,True,5812,{'Python': '100.00%'},2,2,2,0,2,2,7,2012-12-13 21:49:54+00:00,2015-09-23 22:06:15+00:00,1,[],2,20240809_225234
googlearchive/storage-getting-started-javascript,storage-getting-started-javascript,googlearchive,https://github.com/googlearchive/storage-getting-started-javascript,This is a simple web-based example of calling the Google Cloud Storage API in JavaScript.,HTML,2012-12-11 18:49:16+00:00,2024-07-20 21:06:59+00:00,2016-02-11 01:28:13+00:00,38,84,84,38,7,72,38,True,21664,{'HTML': '100.00%'},18,11,8,1,9,7,32,2012-12-11 18:48:34+00:00,2016-02-11 01:28:13+00:00,3,[],8,20240809_225234
googlearchive/storage-appengine-bucket-lister-python,storage-appengine-bucket-lister-python,googlearchive,https://github.com/googlearchive/storage-appengine-bucket-lister-python,Sample application illustrating use of Google Cloud Storage API in App Engine environment.,Python,2012-12-05 05:53:48+00:00,2023-01-28 09:19:38+00:00,2015-09-23 23:54:04+00:00,157,10,10,4,0,57,4,True,5533,"{'Python': '82.36%', 'HTML': '17.64%'}",1,1,1,0,1,1,5,2012-12-05 05:53:48+00:00,2015-09-23 23:54:04+00:00,1,[],2,20240809_225234
googlearchive/appengine-recover-unapplied-writes-python,appengine-recover-unapplied-writes-python,googlearchive,https://github.com/googlearchive/appengine-recover-unapplied-writes-python,Sample App Engine application showing how to recover unapplied writes to the datastore.,Python,2013-01-16 18:51:23+00:00,2023-01-28 09:19:42+00:00,2015-09-23 21:40:23+00:00,136,2,2,3,0,57,3,True,6190,{'Python': '100.00%'},2,2,2,0,2,2,11,2013-01-16 18:51:23+00:00,2015-09-23 21:40:22+00:00,1,[],4,20240809_225234
googlearchive/EventSource-Examples,EventSource-Examples,googlearchive,https://github.com/googlearchive/EventSource-Examples,Demonstrates using the EventSource / Server-Sent Events feature of the Firebase REST API to implement a simple commandline chat client in Ruby and Python,Ruby,2014-03-18 22:29:46+00:00,2023-01-28 20:09:09+00:00,2018-08-24 22:17:08+00:00,132,46,46,29,1,43,29,True,19913,"{'Ruby': '61.70%', 'Python': '38.30%'}",6,5,3,0,3,3,9,2014-03-18 22:29:46+00:00,2018-08-24 22:17:07+00:00,1,[],2,20240809_225249
googlearchive/compute-getting-started-python,compute-getting-started-python,googlearchive,https://github.com/googlearchive/compute-getting-started-python,This sample python application demonstrates how to access the Compute Engine API using the Google Python API Client Library.,Python,2012-12-05 00:06:07+00:00,2023-01-28 09:19:38+00:00,2015-09-22 17:58:03+00:00,293,41,41,16,3,64,16,True,7062,"{'Python': '77.41%', 'Shell': '22.59%'}",14,11,5,2,7,5,30,2012-12-05 00:06:07+00:00,2015-09-22 17:58:02+00:00,1,[],7,20240809_225235
googlearchive/android-ClippingBasic,android-ClippingBasic,googlearchive,https://github.com/googlearchive/android-ClippingBasic,Migrated:,Java,2014-06-26 15:57:24+00:00,2023-01-28 17:16:39+00:00,2019-09-10 21:34:51+00:00,448,98,98,22,0,19,22,True,36899,{'Java': '100.00%'},1,1,1,0,1,0,26,2014-06-26 15:57:31+00:00,2019-09-10 21:34:50+00:00,1,[],3,20240809_225250
googlearchive/androidtv-VisualGameController,androidtv-VisualGameController,googlearchive,https://github.com/googlearchive/androidtv-VisualGameController,This sample has been deprecated/archived. Check this repo for related samples:,Java,2014-06-26 16:01:25+00:00,2023-01-28 17:10:05+00:00,2019-09-19 23:21:32+00:00,5895,37,37,19,0,20,19,True,52545,{'Java': '100.00%'},1,1,0,0,0,0,3,2014-06-13 21:15:59+00:00,2019-09-19 23:21:32+00:00,1,[],2,20240809_225250
googlearchive/android-JobScheduler,android-JobScheduler,googlearchive,https://github.com/googlearchive/android-JobScheduler,This sample has been deprecated/archived. Check this repo for related samples:,Java,2014-06-26 16:04:34+00:00,2024-06-11 08:35:58+00:00,2019-10-11 17:40:39+00:00,994,771,771,282,0,58,282,True,56041,"{'Java': '72.36%', 'Kotlin': '27.64%'}",13,13,1,0,1,0,27,2014-06-26 16:04:50+00:00,2019-10-11 17:40:39+00:00,1,[],3,20240809_225250
googlearchive/android-NavigationDrawer,android-NavigationDrawer,googlearchive,https://github.com/googlearchive/android-NavigationDrawer,This sample has been deprecated/archived. Check this repo for related samples:,Java,2014-06-26 16:05:31+00:00,2024-07-19 03:02:07+00:00,2019-10-03 23:06:40+00:00,547,276,276,169,0,49,169,True,57010,"{'Java': '73.27%', 'Kotlin': '26.73%'}",13,13,6,0,6,0,27,2014-06-26 16:05:37+00:00,2019-10-03 23:06:39+00:00,1,[],3,20240809_225250
