full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
spring-guides/gs-contract-rest,gs-contract-rest,spring-guides,https://github.com/spring-guides/gs-contract-rest,Consumer Driven Contracts :: Learn how to with contract stubs and consuming that contract from another Spring application,Java,2018-01-05 19:13:25+00:00,2024-06-17 13:58:17+00:00,2024-06-17 13:58:14+00:00,692,13,13,29,1,22,29,False,11036,"{'Java': '93.68%', 'Shell': '3.58%', 'Groovy': '2.74%'}",21,20,10,1,11,9,145,2015-05-26 15:46:44+00:00,2024-06-17 13:57:11+00:00,3,[],8,20240809_144151
spring-guides/tut-spring-boot-oauth2,tut-spring-boot-oauth2,spring-guides,https://github.com/spring-guides/tut-spring-boot-oauth2,"Spring Boot and OAuth2:: A tutorial on ""social"" login and single sign on with Facebook and Github",Java,2015-11-24 11:29:05+00:00,2024-07-26 16:38:06+00:00,2024-08-01 21:08:01+00:00,232,897,897,744,46,65,744,False,27419,"{'Java': '68.26%', 'HTML': '30.46%', 'Ruby': '1.28%'}",152,106,38,21,59,27,103,2015-11-16 09:28:27+00:00,2021-05-22 12:13:05+00:00,5,[],19,20240809_144152
spring-guides/gs-reactive-rest-service,gs-reactive-rest-service,spring-guides,https://github.com/spring-guides/gs-reactive-rest-service,Building a Reactive RESTful Web Service :: Learn how to create a RESTful web service with Reactive Spring and consume it with WebClient.,Java,2017-08-18 15:54:17+00:00,2024-07-26 18:55:53+00:00,2024-06-11 17:39:01+00:00,609,161,161,130,1,23,130,False,5115,"{'Java': '92.45%', 'Shell': '7.55%'}",28,27,16,0,16,9,159,2016-02-26 13:28:54+00:00,2024-06-11 17:38:10+00:00,1,[],12,20240809_144152
spring-guides/gs-accessing-data-mysql,gs-accessing-data-mysql,spring-guides,https://github.com/spring-guides/gs-accessing-data-mysql,Accessing data with MySQL :: Learn how to set up and manage user accounts on MySQL and how to configure Spring Boot to connect to it at runtime.,Java,2017-01-25 14:13:09+00:00,2024-08-05 03:42:07+00:00,2024-08-02 12:00:43+00:00,1106,193,193,305,0,28,305,False,4523,{'Java': '100.00%'},65,65,36,0,36,26,176,2017-01-25 14:12:03+00:00,2024-08-02 12:00:22+00:00,2,[],22,20240809_144151
spring-guides/gs-vault-config,gs-vault-config,spring-guides,https://github.com/spring-guides/gs-vault-config,Vault Configuration :: Learn how to store and retrieve application configuration details in HashiCorp Vault,Java,2018-01-05 19:57:13+00:00,2024-07-09 11:40:47+00:00,2024-07-09 11:40:50+00:00,526,16,16,27,0,22,27,False,4139,"{'Java': '73.50%', 'Shell': '26.50%'}",20,20,14,0,14,11,134,2014-12-11 17:07:18+00:00,2024-07-09 11:40:43+00:00,1,[],11,20240809_144152
spring-guides/gs-crud-with-vaadin,gs-crud-with-vaadin,spring-guides,https://github.com/spring-guides/gs-crud-with-vaadin,Creating CRUD UI with Vaadin :: Use Vaadin and Spring Data JPA to build a dynamic UI,Java,2015-09-28 15:23:37+00:00,2024-08-06 10:37:11+00:00,2024-08-06 10:26:39+00:00,1197,106,106,140,1,31,140,False,18076,{'Java': '100.00%'},131,130,110,0,110,80,233,2020-09-22 11:12:21+00:00,2024-08-06 10:26:39+00:00,3,[],20,20240809_144152
spring-guides/gs-spring-data-reactive-redis,gs-spring-data-reactive-redis,spring-guides,https://github.com/spring-guides/gs-spring-data-reactive-redis,Accessing Data Reactively with Redis :: Learn how to reactively interface with Redis and Spring Data,Java,2018-04-02 16:54:08+00:00,2024-07-10 11:16:06+00:00,2024-07-10 10:21:15+00:00,495,35,35,30,2,22,30,False,3562,{'Java': '100.00%'},16,14,5,1,6,3,121,2014-06-11 14:08:35+00:00,2024-07-10 10:21:14+00:00,2,[],6,20240809_144153
spring-guides/gs-spring-boot-for-azure,gs-spring-boot-for-azure,spring-guides,https://github.com/spring-guides/gs-spring-boot-for-azure,Deploying a Spring Boot app to Azure :: Learn how to deploy a Spring Boot app to Azure.,Shell,2018-04-05 21:29:49+00:00,2024-08-01 11:49:42+00:00,2024-08-01 11:52:23+00:00,546,14,14,52,2,20,52,False,12942,"{'Shell': '33.55%', 'Bicep': '32.66%', 'Java': '21.07%', 'PowerShell': '12.72%'}",31,29,24,1,25,17,168,2016-08-26 14:53:40+00:00,2024-08-01 11:47:20+00:00,2,[],12,20240809_144154
spring-guides/gs-gateway,gs-gateway,spring-guides,https://github.com/spring-guides/gs-gateway,Building a Gateway :: Learn how to configure a gateway,Java,2018-04-23 18:47:30+00:00,2024-07-24 18:36:33+00:00,2024-07-23 16:01:17+00:00,553,106,106,103,0,23,103,False,3674,{'Java': '100.00%'},23,23,14,0,14,8,147,2015-06-09 13:41:20+00:00,2024-07-23 16:00:14+00:00,2,['spring-cloud-gateway'],8,20240809_144155
spring-guides/tut-spring-boot-kotlin,tut-spring-boot-kotlin,spring-guides,https://github.com/spring-guides/tut-spring-boot-kotlin,"Building web applications with Spring Boot and Kotlin :: Learn how to easily build and test web applications with Spring, Kotlin, Junit 5 and JPA",Kotlin,2018-04-27 12:51:10+00:00,2024-08-05 18:05:57+00:00,2024-07-24 03:16:20+00:00,812,895,895,289,0,45,289,False,11488,"{'Kotlin': '88.92%', 'Mustache': '9.44%', 'Shell': '1.64%'}",65,65,34,0,34,25,105,2018-05-11 09:16:34+00:00,2024-02-15 08:31:17+00:00,1,"['spring-boot', 'spring-framework']",19,20240809_144157
